# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号|electricityBalance
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=23011109;2=23011110;3=23011111;4=23011112|0.0
01A栋|203|2|4|1=23012237;2=23012238;3=23012239;4=23012240|0.0
01A栋|204|2|4|1=23012309;2=23012310;3=23012311;4=23012312|0.0
01A栋|205|2|4|1=23012313;2=23012314;3=23012315;4=23012316|0.0
01A栋|206|2|4|1=23012317;2=23012318;3=23012319;4=23012320|0.0
01A栋|207|2|4|1=23012321;2=23012322;3=23012323;4=23012324|0.0
01A栋|208|2|4|1=23012325;2=23012326;3=23012327;4=23012328|0.0
01A栋|209|2|4|1=23012329;2=23012330;3=23012331;4=23012332|0.0
01A栋|210|2|4|1=23012333;2=23012334;3=23012335;4=23012336|0.0
01A栋|211|2|4|1=23012337;2=23012338;3=23012339;4=23012340|0.0
01A栋|212|2|4|1=23012409;2=23012410;3=23012411;4=23012412|0.0
01A栋|213|2|4|1=23012413;2=23012414;3=23012415;4=23012416|0.0
01A栋|214|2|4|1=23012417;2=23012418;3=23012419;4=23012420|0.0
01A栋|215|2|4|1=23012421;2=23012422;3=23012423;4=23012424|0.0
01A栋|216|2|4|1=23012425;2=23012426;3=23012427;4=23012428|0.0
01A栋|217|2|4|1=23012429;2=23012430;3=23012431;4=23012432|0.0
01A栋|218|2|4|1=23012433;2=23012434;3=23012435;4=23012436|0.0
01A栋|219|2|4|1=23012437;2=23012438;3=23012439;4=23012440|0.0
01A栋|220|2|4|1=23013109;2=23013110;3=23013111;4=23013112|0.0
01A栋|221|2|4|1=23013113;2=23013114;3=23013115;4=23013116|0.0
01A栋|222|2|4|1=23013117;2=23013118;3=23013119;4=23013120|0.0
01A栋|223|2|4|1=23013121;2=23013122;3=23013123;4=23013124|0.0
01A栋|224|2|4|1=23013125;2=23013126;3=23013127;4=23013128|0.0
01A栋|225|2|4|1=23013129;2=23013130;3=23013131;4=23013132|0.0
01A栋|226|2|4|1=23013133;2=23013134;3=23013135;4=23013136|0.0
01A栋|227|2|4|1=23013137;2=23013138;3=23013139;4=23013140|0.0
01A栋|228|2|4|1=23013209;2=23013210;3=23013211;4=23013212|0.0
01A栋|229|2|4|1=23013213;2=23013214;3=23013215;4=23013216|0.0
01A栋|230|2|4|1=23013217;2=23013218;3=23013219;4=23013220|0.0
01A栋|231|2|4|1=23013221;2=23013222;3=23013223;4=23013224|0.0
01A栋|232|2|4|1=23013225;2=23013226;3=23013227;4=23013228|0.0
01A栋|233|2|4|1=23013229;2=23013230;3=23013231;4=23013232|0.0
01A栋|234|2|4|1=23013233;2=23013234;3=23013235;4=23013236|0.0
01A栋|235|2|4|1=23013237;2=23013238;3=23013239;4=23013240|0.0
01A栋|236|2|4|1=23013309;2=23013310;3=23013311;4=23013312|0.0
01A栋|237|2|4|1=23013313;2=23013314;3=23013315;4=23013316|0.0
01A栋|238|2|4|1=23013317;2=23013318;3=23013319;4=23013320|0.0
01A栋|239|2|4|1=23013321;2=23013322;3=23013323;4=23013324|0.0
01A栋|240|2|4|1=23013325;2=23013326;3=23013327;4=23013328|0.0
01A栋|241|2|4|1=23013329;2=23013330;3=23013331;4=23013332|0.0
01A栋|242|2|4|1=23013333;2=23013334;3=23013335;4=23013336|0.0
01A栋|243|2|4|1=23013337;2=23013338;3=23013339;4=23013340|0.0
01A栋|244|2|4|1=23013409;2=23013410;3=23013411;4=23013412|0.0
01A栋|245|2|4|1=23013413;2=23013414;3=23013415;4=23013416|0.0
01A栋|301|3|4|1=23013417;2=23013418;3=23013419;4=23013420|0.0
01A栋|302|3|4|1=23013421;2=23013422;3=23013423;4=23013424|0.0
01A栋|303|3|4|1=23013425;2=23013426;3=23013427;4=23013428|0.0
01A栋|304|3|4|1=23013429;2=23013430;3=23013431;4=23013432|0.0
01A栋|305|3|4|1=23013433;2=23013434;3=23013435;4=23013436|0.0
01A栋|306|3|4|1=23013437;2=23013438;3=23013439;4=23013440|0.0
01A栋|307|3|4|1=23014109;2=23014110;3=23014111;4=23014112|0.0
01A栋|308|3|4|1=23014113;2=23014114;3=23014115;4=23014116|0.0
01A栋|309|3|4|1=23014117;2=23014118;3=23014119;4=23014120|0.0
01A栋|310|3|4|1=23014121;2=23014122;3=23014123;4=23014124|0.0
01A栋|311|3|4|1=23014125;2=23014126;3=23014127;4=23014128|0.0
01A栋|312|3|4|1=23014129;2=23014130;3=23014131;4=23014132|0.0
01A栋|313|3|4|1=23014133;2=23014134;3=23014135;4=23014136|0.0
01A栋|314|3|4|1=23014137;2=23014138;3=23014139;4=23014140|0.0
01A栋|315|3|4|1=23014209;2=23014210;3=23014211;4=23014212|0.0
01A栋|316|3|4|1=23014213;2=23014214;3=23014215;4=23014216|0.0
01A栋|317|3|4|1=23014217;2=23014218;3=23014219;4=23014220|0.0
01A栋|318|3|4|1=23014221;2=23014222;3=23014223;4=23014224|0.0
01A栋|319|3|4|1=23014225;2=23014226;3=23014227;4=23014228|0.0
01A栋|320|3|4|1=23014229;2=23014230;3=23014231;4=23014232|0.0
01A栋|321|3|4|1=23014233;2=23014234;3=23014235;4=23014236|0.0
01A栋|322|3|4|1=23014237;2=23014238;3=23014239;4=23014240|0.0
01A栋|323|3|4|1=23014309;2=23014310;3=23014311;4=23014312|0.0
01A栋|324|3|4|1=23014313;2=23014314;3=23014315;4=23014316|0.0
01A栋|325|3|4|1=23014317;2=23014318;3=23014319;4=23014320|0.0
01A栋|326|3|4|1=23014321;2=23014322;3=23014323;4=23014324|0.0
01A栋|327|3|4|1=23014325;2=23014326;3=23014327;4=23014328|0.0
01A栋|328|3|4|1=23014329;2=23014330;3=23014331;4=23014332|0.0
01A栋|329|3|4|1=23014333;2=23014334;3=23014335;4=23014336|0.0
01A栋|330|3|4|1=23014337;2=23014338;3=23014339;4=23014340|0.0
01A栋|331|3|4|1=23014409;2=23014410;3=23014411;4=23014412|0.0
01A栋|332|3|4|1=23014413;2=23014414;3=23014415;4=23014416|0.0
01A栋|333|3|4|1=23014417;2=23014418;3=23014419;4=23014420|0.0
01A栋|334|3|4|1=23014421;2=23014422;3=23014423;4=23014424|0.0
01A栋|335|3|4|1=23014425;2=23014426;3=23014427;4=23014428|0.0
01A栋|336|3|4|1=23014429;2=23014430;3=23014431;4=23014432|0.0
01A栋|337|3|4|1=23014433;2=23014434;3=23014435;4=23014436|0.0
01A栋|338|3|4|1=23014437;2=23014438;3=23014439;4=23014440|0.0
01A栋|339|3|4|1=24011109;2=24011110;3=24011111;4=24011112|0.0
01A栋|340|3|4|1=24011113;2=24011114;3=24011115;4=24011116|0.0
01A栋|341|3|4|1=24011117;2=24011118;3=24011119;4=24011120|0.0
01A栋|342|3|4|1=24011121;2=24011122;3=24011123;4=24011124|0.0
01A栋|343|3|4|1=24011125;2=24011126;3=24011127;4=24011128|0.0
01A栋|344|3|4|1=24011129;2=24011130;3=24011131;4=24011132|0.0
01A栋|345|3|4|1=24011133;2=24011134;3=24011135;4=24011136|0.0
01A栋|401|4|4|1=24011137;2=24011138;3=24011139;4=24011140|0.0
01A栋|402|4|4|1=24011209;2=24011210;3=24011211;4=24011212|0.0
01A栋|403|4|4|1=24011213;2=24011214;3=24011215;4=24011216|0.0
01A栋|404|4|4|1=24011217;2=24011218;3=24011219;4=24011220|0.0
01A栋|405|4|4|1=24011221;2=24011222;3=24011223;4=24011224|0.0
01A栋|406|4|4|1=24011225;2=24011226;3=24011227;4=24011228|0.0
01A栋|407|4|4|1=24011229;2=24011230;3=24011231;4=24011232|0.0
01A栋|408|4|4|1=24011233;2=24011234;3=24011235;4=24011236|0.0
01A栋|409|4|4|1=24011237;2=24011238;3=24011239;4=24011240|0.0
01A栋|410|4|4|1=24011309;2=24011310;3=24011311;4=24011312|0.0
01A栋|411|4|4|1=24011313;2=24011314;3=24011315;4=24011316|0.0
01A栋|412|4|4|1=24011317;2=24011318;3=24011319;4=24011320|0.0
01A栋|413|4|4|1=24011321;2=24011322;3=24011323;4=24011324|0.0
01A栋|414|4|4|1=24011325;2=24011326;3=24011327;4=24011328|0.0
01A栋|415|4|4|1=24011329;2=24011330;3=24011331;4=24011332|0.0
01A栋|416|4|4|1=24011333;2=24011334;3=24011335;4=24011336|0.0
01A栋|417|4|4|1=24011337;2=24011338;3=24011339;4=24011340|0.0
01A栋|418|4|4|1=24011409;2=24011410;3=24011411;4=24011412|0.0
01A栋|419|4|4|1=24011413;2=24011414;3=24011415;4=24011416|0.0
01A栋|420|4|4|1=24011417;2=24011418;3=24011419;4=24011420|0.0
01A栋|421|4|4|1=24011421;2=24011422;3=24011423;4=24011424|0.0
01A栋|422|4|4|1=24011425;2=24011426;3=24011427;4=24011428|0.0
01A栋|423|4|4|1=24011429;2=24011430;3=24011431;4=24011432|0.0
01A栋|424|4|4|1=24011433;2=24011434;3=24011435;4=24011436|0.0
01A栋|425|4|4|1=24011437;2=24011438;3=24011439;4=24011440|0.0
01A栋|426|4|4|1=24012109;2=24012110;3=24012111;4=24012112|0.0
01A栋|427|4|4|1=24012113;2=24012114;3=24012115;4=24012116|0.0
01A栋|428|4|4|1=24012117;2=24012118;3=24012119;4=24012120|0.0
01A栋|429|4|4|1=24012121;2=24012122;3=24012123;4=24012124|0.0
01A栋|430|4|4|1=24012125;2=24012126;3=24012127;4=24012128|0.0
01A栋|431|4|4|1=24012129;2=24012130;3=24012131;4=24012132|0.0
01A栋|432|4|4|1=24012133;2=24012134;3=24012135;4=24012136|0.0
01A栋|433|4|4|1=24012137;2=24012138;3=24012139;4=24012140|0.0
01A栋|434|4|4|1=24012209;2=24012210;3=24012211;4=24012212|0.0
01A栋|435|4|4|1=24012213;2=24012214;3=24012215;4=24012216|0.0
01A栋|436|4|4|1=24012217;2=24012218;3=24012219;4=24012220|0.0
01A栋|437|4|4|1=24012221;2=24012222;3=24012223;4=24012224|0.0
01A栋|438|4|4|1=24012225;2=24012226;3=24012227;4=24012228|0.0
01A栋|439|4|4|1=24012229;2=24012230;3=24012231;4=24012232|0.0
01A栋|440|4|4|1=24012233;2=24012234;3=24012235;4=24012236|0.0
01A栋|441|4|4|1=24012237;2=24012238;3=24012239;4=24012240|0.0
01A栋|442|4|4|1=24012309;2=24012310;3=24012311;4=24012312|0.0
01A栋|443|4|4|1=24012313;2=24012314;3=24012315;4=24012316|0.0
01A栋|444|4|4|1=24012317;2=24012318;3=24012319;4=24012320|0.0
01A栋|445|4|4|1=24012321;2=24012322;3=24012323;4=24012324|0.0
01A栋|501|5|4|1=24012325;2=24012326;3=24012327;4=24012328|0.0
01A栋|502|5|4|1=24012329;2=24012330;3=24012331;4=24012332|0.0
01A栋|503|5|4|1=24012333;2=24012334;3=24012335;4=24012336|0.0
01A栋|504|5|4|1=24012337;2=24012338;3=24012339;4=24012340|0.0
01A栋|505|5|4|1=24012409;2=24012410;3=24012411;4=24012412|0.0
01A栋|506|5|4|1=24012413;2=24012414;3=24012415;4=24012416|0.0
01A栋|507|5|4|1=24012417;2=24012418;3=24012419;4=24012420|0.0
01A栋|508|5|4|1=24012421;2=24012422;3=24012423;4=24012424|0.0
01A栋|509|5|4|1=24012425;2=24012426;3=24012427;4=24012428|0.0
01A栋|510|5|4|1=24012429;2=24012430;3=24012431;4=24012432|0.0
01A栋|511|5|4|1=24012433;2=24012434;3=24012435;4=24012436|0.0
01A栋|512|5|4|1=24012437;2=24012438;3=24012439;4=24012440|0.0
01A栋|513|5|4|1=24013109;2=24013110;3=24013111;4=24013112|0.0
01A栋|514|5|4|1=24013113;2=24013114;3=24013115;4=24013116|0.0
01A栋|515|5|4|1=24013117;2=24013118;3=24013119;4=24013120|0.0
01A栋|516|5|4|1=24013121;2=24013122;3=24013123;4=24013124|0.0
01A栋|517|5|4|1=24013125;2=24013126;3=24013127;4=24013128|0.0
01A栋|518|5|4|1=24013129;2=24013130;3=24013131;4=24013132|0.0
01A栋|519|5|4|1=24013133;2=24013134;3=24013135;4=24013136|0.0
01A栋|520|5|4|1=24013137;2=24013138;3=24013139;4=24013140|0.0
01A栋|521|5|4|1=24013209;2=24013210;3=24013211;4=24013212|0.0
01A栋|522|5|4|1=24013213;2=24013214;3=24013215;4=24013216|0.0
01A栋|523|5|4|1=24013217;2=24013218;3=24013219;4=24013220|0.0
01A栋|524|5|4|1=24013221;2=24013222;3=24013223;4=24013224|0.0
01A栋|525|5|4|1=24013225;2=24013226;3=24013227;4=24013228|0.0
01A栋|526|5|4|1=24013229;2=24013230;3=24013231;4=24013232|0.0
01A栋|527|5|4|1=24013233;2=24013234;3=24013235;4=24013236|0.0
01A栋|528|5|4|1=24013237;2=24013238;3=24013239;4=24013240|0.0
01A栋|529|5|4|1=24013309;2=24013310;3=24013311;4=24013312|0.0
01A栋|530|5|4|1=24013313;2=24013314;3=24013315;4=24013316|0.0
01A栋|531|5|4|1=24013317;2=24013318;3=24013319;4=24013320|0.0
01A栋|532|5|4|1=24013321;2=24013322;3=24013323;4=24013324|0.0
01A栋|533|5|4|1=24013325;2=24013326;3=24013327;4=24013328|0.0
01A栋|534|5|4|1=24013329;2=24013330;3=24013331;4=24013332|0.0
01A栋|535|5|4|1=24013333;2=24013334;3=24013335;4=24013336|0.0
01A栋|536|5|4|1=24013337;2=24013338;3=24013339;4=24013340|0.0
01A栋|537|5|4|1=24013409;2=24013410;3=24013411;4=24013412|0.0
01A栋|538|5|4|1=24013413;2=24013414;3=24013415;4=24013416|0.0
01A栋|539|5|4|1=24013417;2=24013418;3=24013419;4=24013420|0.0
01A栋|540|5|4|1=24013421;2=24013422;3=24013423;4=24013424|0.0
01A栋|541|5|4|1=24013425;2=24013426;3=24013427;4=24013428|0.0
01A栋|542|5|4|1=24013429;2=24013430;3=24013431;4=24013432|0.0
01A栋|543|5|4|1=24013433;2=24013434;3=24013435;4=24013436|0.0
01A栋|544|5|4|1=24013437;2=24013438;3=24013439;4=24013440|0.0
01A栋|545|5|4|1=24014109;2=24014110;3=24014111;4=24014112|0.0
01A栋|601|6|4|1=24014113;2=24014114;3=24014115;4=24014116|0.0
01A栋|602|6|4|1=24014117;2=24014118;3=24014119;4=24014120|0.0
01A栋|603|6|4|1=24014121;2=24014122;3=24014123;4=24014124|0.0
01A栋|604|6|4|1=24014125;2=24014126;3=24014127;4=24014128|0.0
01A栋|605|6|4|1=24014129;2=24014130;3=24014131;4=24014132|0.0
01A栋|606|6|4|1=24014133;2=24014134;3=24014135;4=24014136|0.0
01A栋|607|6|4|1=24014137;2=24014138;3=24014139;4=24014140|0.0
01A栋|608|6|4|1=24014209;2=24014210;3=24014211;4=24014212|0.0
01A栋|609|6|4|1=24014213;2=24014214;3=24014215;4=24014216|0.0
01A栋|610|6|4|1=24014217;2=24014218;3=24014219;4=24014220|0.0
01A栋|611|6|4|1=24014221;2=24014222;3=24014223;4=24014224|0.0
01A栋|612|6|4|1=24014225;2=24014226;3=24014227;4=24014228|0.0
01A栋|613|6|4|1=24014229;2=24014230;3=24014231;4=24014232|0.0
01A栋|614|6|4|1=24014233;2=24014234;3=24014235;4=24014236|0.0
01A栋|615|6|4|1=24014237;2=24014238;3=24014239;4=24014240|0.0
01A栋|616|6|4|1=24014309;2=24014310;3=24014311;4=24014312|0.0
01A栋|617|6|4|1=24014313;2=24014314;3=24014315;4=24014316|0.0
01A栋|618|6|4|1=24014317;2=24014318;3=24014319;4=24014320|0.0
01A栋|619|6|4|1=24014321;2=24014322;3=24014323;4=24014324|0.0
01A栋|620|6|4|1=24014325;2=24014326;3=24014327;4=24014328|0.0
01A栋|621|6|4|1=24014329;2=24014330;3=24014331;4=24014332|0.0
01A栋|622|6|4|1=24014333;2=24014334;3=24014335;4=24014336|0.0
01A栋|623|6|4|1=24014337;2=24014338;3=24014339;4=24014340|0.0
01A栋|624|6|4|1=24014409;2=24014410;3=24014411;4=24014412|0.0
01A栋|625|6|4|1=24014413;2=24014414;3=24014415;4=24014416|0.0
01A栋|626|6|4|1=24014417;2=24014418;3=24014419;4=24014420|0.0
01A栋|627|6|4|1=24014421;2=24014422;3=24014423;4=24014424|0.0
01A栋|628|6|4|1=24014425;2=24014426;3=24014427;4=24014428|0.0
01A栋|629|6|4|1=24014429;2=24014430;3=24014431;4=24014432|0.0
01A栋|630|6|4|1=24014433;2=24014434;3=24014435;4=24014436|0.0
01A栋|631|6|4|1=24014437;2=24014438;3=24014439;4=24014440|0.0
01A栋|632|6|4|1=25011109;2=25011110;3=25011111;4=25011112|0.0
01A栋|633|6|4|1=25011113;2=25011114;3=25011115;4=25011116|0.0
01A栋|634|6|4|1=25011117;2=25011118;3=25011119;4=25011120|0.0
01A栋|635|6|4|1=25011121;2=25011122;3=25011123;4=25011124|0.0
01A栋|636|6|4|1=25011125;2=25011126;3=25011127;4=25011128|0.0
01A栋|637|6|4|1=25011129;2=25011130;3=25011131;4=25011132|0.0
01A栋|638|6|4|1=25011133;2=25011134;3=25011135;4=25011136|0.0
01A栋|639|6|4|1=25011137;2=25011138;3=25011139;4=25011140|0.0
01A栋|640|6|4|1=25011209;2=25011210;3=25011211;4=25011212|0.0
01A栋|641|6|4|1=25011213;2=25011214;3=25011215;4=25011216|0.0
01A栋|642|6|4|1=25011217;2=25011218;3=25011219;4=25011220|0.0
01A栋|643|6|4|1=25011221;2=25011222;3=25011223;4=25011224|0.0
01A栋|644|6|4|1=25011225;2=25011226;3=25011227;4=25011228|0.0
01A栋|645|6|4|1=25011229;2=25011230;3=25011231;4=25011232|0.0
01A栋|701|7|4|1=25011233;2=25011234;3=25011235;4=25011236|0.0
01A栋|702|7|4|1=25011237;2=25011238;3=25011239;4=25011240|0.0
01A栋|703|7|4|1=25011309;2=25011310;3=25011311;4=25011312|0.0
01A栋|704|7|4|1=25011313;2=25011314;3=25011315;4=25011316|0.0
01A栋|705|7|4|1=25011317;2=25011318;3=25011319;4=25011320|0.0
01A栋|706|7|4|1=25011321;2=25011322;3=25011323;4=25011324|0.0
01A栋|707|7|4|1=25011325;2=25011326;3=25011327;4=25011328|0.0
01A栋|708|7|4|1=25011329;2=25011330;3=25011331;4=25011332|0.0
01A栋|709|7|4|1=25011333;2=25011334;3=25011335;4=25011336|0.0
01A栋|710|7|4|1=25011337;2=25011338;3=25011339;4=25011340|0.0
01A栋|711|7|4|1=25011409;2=25011410;3=25011411;4=25011412|0.0
01A栋|712|7|4|1=25011413;2=25011414;3=25011415;4=25011416|0.0
01A栋|713|7|4|1=25011417;2=25011418;3=25011419;4=25011420|0.0
01A栋|714|7|4|1=25011421;2=25011422;3=25011423;4=25011424|0.0
01A栋|715|7|4|1=25011425;2=25011426;3=25011427;4=25011428|0.0
01A栋|716|7|4|1=25011429;2=25011430;3=25011431;4=25011432|0.0
01A栋|717|7|4|1=25011433;2=25011434;3=25011435;4=25011436|0.0
01A栋|718|7|4|1=25011437;2=25011438;3=25011439;4=25011440|0.0
01A栋|719|7|4|1=25012109;2=25012110;3=25012111;4=25012112|0.0
01A栋|720|7|4|1=25012113;2=25012114;3=25012115;4=25012116|0.0
01A栋|721|7|4|1=25012117;2=25012118;3=25012119;4=25012120|0.0
01A栋|722|7|4|1=25012121;2=25012122;3=25012123;4=25012124|0.0
01A栋|723|7|4|1=25012125;2=25012126;3=25012127;4=25012128|0.0
01A栋|724|7|4|1=25012129;2=25012130;3=25012131;4=25012132|0.0
01A栋|725|7|4|1=25012133;2=25012134;3=25012135;4=25012136|0.0
01A栋|726|7|4|1=25012137;2=25012138;3=25012139;4=25012140|0.0
01A栋|727|7|4|1=25012209;2=25012210;3=25012211;4=25012212|0.0
01A栋|728|7|4|1=25012213;2=25012214;3=25012215;4=25012216|0.0
01A栋|729|7|4|1=25012217;2=25012218;3=25012219;4=25012220|0.0
01A栋|730|7|4|1=25012221;2=25012222;3=25012223;4=25012224|0.0
01A栋|731|7|4|1=25012225;2=25012226;3=25012227;4=25012228|0.0
01A栋|732|7|4|1=25012229;2=25012230;3=25012231;4=25012232|0.0
01A栋|733|7|4|1=25012233;2=25012234;3=25012235;4=25012236|0.0
01A栋|734|7|4|1=25012237;2=25012238;3=25012239;4=25012240|0.0
01A栋|735|7|4|1=25012309;2=25012310;3=25012311;4=25012312|0.0
01A栋|736|7|4|1=25012313;2=25012314;3=25012315;4=25012316|0.0
01A栋|737|7|4|1=25012317;2=25012318;3=25012319;4=25012320|0.0
01A栋|738|7|4|1=25012321;2=25012322;3=25012323;4=25012324|0.0
01A栋|739|7|4|1=25012325;2=25012326;3=25012327;4=25012328|0.0
01A栋|740|7|4|1=25012329;2=25012330;3=25012331;4=25012332|0.0
01A栋|741|7|4|1=25012333;2=25012334;3=25012335;4=25012336|0.0
01A栋|742|7|4|1=25012337;2=25012338;3=25012339;4=25012340|0.0
01A栋|743|7|4|1=25012409;2=25012410;3=25012411;4=25012412|0.0
01A栋|744|7|4|1=25012413;2=25012414;3=25012415;4=25012416|0.0
01A栋|745|7|4|1=25012417;2=25012418;3=25012419;4=25012420|0.0
01A栋|801|8|4|1=25012421;2=25012422;3=25012423;4=25012424|0.0
01A栋|802|8|4|1=25012425;2=25012426;3=25012427;4=25012428|0.0
01A栋|803|8|4|1=25012429;2=25012430;3=25012431;4=25012432|0.0
01A栋|804|8|4|1=25012433;2=25012434;3=25012435;4=25012436|0.0
01A栋|805|8|4|1=25012437;2=25012438;3=25012439;4=25012440|0.0
01A栋|806|8|4|1=25013109;2=25013110;3=25013111;4=25013112|0.0
01A栋|807|8|4|1=25013113;2=25013114;3=25013115;4=25013116|0.0
01A栋|808|8|4|1=25013117;2=25013118;3=25013119;4=25013120|0.0
01A栋|809|8|4|1=25013121;2=25013122;3=25013123;4=25013124|0.0
01A栋|810|8|4|1=25013125;2=25013126;3=25013127;4=25013128|0.0
01A栋|811|8|4|1=25013129;2=25013130;3=25013131;4=25013132|0.0
01A栋|812|8|4|1=25013133;2=25013134;3=25013135;4=25013136|0.0
01A栋|813|8|4|1=25013137;2=25013138;3=25013139;4=25013140|0.0
01A栋|814|8|4|1=25013209;2=25013210;3=25013211;4=25013212|0.0
01A栋|815|8|4|1=25013213;2=25013214;3=25013215;4=25013216|0.0
01A栋|816|8|4|1=25013217;2=25013218;3=25013219;4=25013220|0.0
01A栋|817|8|4|1=25013221;2=25013222;3=25013223;4=25013224|0.0
01A栋|818|8|4|1=25013225;2=25013226;3=25013227;4=25013228|0.0
01A栋|819|8|4|1=25013229;2=25013230;3=25013231;4=25013232|0.0
01A栋|820|8|4|1=25013233;2=25013234;3=25013235;4=25013236|0.0
01A栋|821|8|4|1=25013237;2=25013238;3=25013239;4=25013240|0.0
01A栋|822|8|4|1=25013309;2=25013310;3=25013311;4=25013312|0.0
01A栋|823|8|4|1=25013313;2=25013314;3=25013315;4=25013316|0.0
01A栋|824|8|4|1=25013317;2=25013318;3=25013319;4=25013320|0.0
01A栋|825|8|4|1=25013321;2=25013322;3=25013323;4=25013324|0.0
01A栋|826|8|4|1=25013325;2=25013326;3=25013327;4=25013328|0.0
01A栋|827|8|4|1=25013329;2=25013330;3=25013331;4=25013332|0.0
01A栋|828|8|4|1=25013333;2=25013334;3=25013335;4=25013336|0.0
01A栋|829|8|4|1=25013337;2=25013338;3=25013339;4=25013340|0.0
01A栋|830|8|4|1=25013409;2=25013410;3=25013411;4=25013412|0.0
01A栋|831|8|4|1=25013413;2=25013414;3=25013415;4=25013416|0.0
01A栋|832|8|4|1=25013417;2=25013418;3=25013419;4=25013420|0.0
01A栋|833|8|4|1=25013421;2=25013422;3=25013423;4=25013424|0.0
01A栋|834|8|4|1=25013425;2=25013426;3=25013427;4=25013428|0.0
01A栋|835|8|4|1=25013429;2=25013430;3=25013431;4=25013432|0.0
01A栋|836|8|4|1=25013433;2=25013434;3=25013435;4=25013436|0.0
01A栋|837|8|4|1=25013437;2=25013438;3=25013439;4=25013440|0.0
01A栋|838|8|4|1=25014109;2=25014110;3=25014111;4=25014112|0.0
01A栋|839|8|4|1=25014113;2=25014114;3=25014115;4=25014116|0.0
