# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=24011109;2=24011110;3=24011111;4=24011112
01A栋|405|4|4|1=25011221;2=25011222;3=25011223;4=25011224
01A栋|406|4|4|1=25011225;2=25011226;3=25011227;4=25011228
01A栋|407|4|4|1=25011229;2=25011230;3=25011231;4=25011232
01A栋|408|4|4|1=25011233;2=25011234;3=25011235;4=25011236
01A栋|409|4|4|1=25011237;2=25011238;3=25011239;4=25011240
01A栋|410|4|4|1=25011309;2=25011310;3=25011311;4=25011312
01A栋|411|4|4|1=25011313;2=25011314;3=25011315;4=25011316
01A栋|412|4|4|1=25011317;2=25011318;3=25011319;4=25011320
01A栋|413|4|4|1=25011321;2=25011322;3=25011323;4=25011324
01A栋|414|4|4|1=25011325;2=25011326;3=25011327;4=25011328
01A栋|415|4|4|1=25011329;2=25011330;3=25011331;4=25011332
01A栋|416|4|4|1=25011333;2=25011334;3=25011335;4=25011336
01A栋|417|4|4|1=25011337;2=25011338;3=25011339;4=25011340
01A栋|418|4|4|1=25011409;2=25011410;3=25011411;4=25011412
01A栋|419|4|4|1=25011413;2=25011414;3=25011415;4=25011416
01A栋|420|4|4|1=25011417;2=25011418;3=25011419;4=25011420
01A栋|421|4|4|1=25011421;2=25011422;3=25011423;4=25011424
01A栋|422|4|4|1=25011425;2=25011426;3=25011427;4=25011428
01A栋|423|4|4|1=25011429;2=25011430;3=25011431;4=25011432
01A栋|424|4|4|1=25011433;2=25011434;3=25011435;4=25011436
01A栋|425|4|4|1=25011437;2=25011438;3=25011439;4=25011440
01A栋|426|4|4|1=25012109;2=25012110;3=25012111;4=25012112
01A栋|427|4|4|1=25012113;2=25012114;3=25012115;4=25012116
01A栋|428|4|4|1=25012117;2=25012118;3=25012119;4=25012120
01A栋|429|4|4|1=25012121;2=25012122;3=25012123;4=25012124
01A栋|430|4|4|1=25012125;2=25012126;3=25012127;4=25012128
01A栋|431|4|4|1=25012129;2=25012130;3=25012131;4=25012132
01A栋|432|4|4|1=25012133;2=25012134;3=25012135;4=25012136
01A栋|433|4|4|1=25012137;2=25012138;3=25012139;4=25012140
01A栋|434|4|4|1=25012209;2=25012210;3=25012211;4=25012212
01A栋|435|4|4|1=25012213;2=25012214;3=25012215;4=25012216
01A栋|436|4|4|1=25012217;2=25012218;3=25012219;4=25012220
01A栋|437|4|4|1=25012221;2=25012222;3=25012223;4=25012224
01A栋|438|4|4|1=25012225;2=25012226;3=25012227;4=25012228
01A栋|439|4|4|1=25012229;2=25012230;3=25012231;4=25012232
01A栋|440|4|4|1=25012233;2=25012234;3=25012235;4=25012236
01A栋|441|4|4|1=25012237;2=25012238;3=25012239;4=25012240
01A栋|442|4|4|1=25012309;2=25012310;3=25012311;4=25012312
01A栋|443|4|4|1=25012313;2=25012314;3=25012315;4=25012316
01A栋|444|4|4|1=25012317;2=25012318;3=25012319;4=25012320
01A栋|445|4|4|1=25012321;2=25012322;3=25012323;4=25012324
01A栋|501|5|4|1=25012325;2=25012326;3=25012327;4=25012328
01A栋|502|5|4|1=25012329;2=25012330;3=25012331;4=25012332
01A栋|503|5|4|1=25012333;2=25012334;3=25012335;4=25012336
01A栋|504|5|4|1=25012337;2=25012338;3=25012339;4=25012340
01A栋|505|5|4|1=25012409;2=25012410;3=25012411;4=25012412
01A栋|506|5|4|1=25012413;2=25012414;3=25012415;4=25012416
01A栋|507|5|4|1=25012417;2=25012418;3=25012419;4=25012420
01A栋|508|5|4|1=25012421;2=25012422;3=25012423;4=25012424
01A栋|509|5|4|1=25012425;2=25012426;3=25012427;4=25012428
01A栋|510|5|4|1=25012429;2=25012430;3=25012431;4=25012432
01A栋|511|5|4|1=25012433;2=25012434;3=25012435;4=25012436
01A栋|512|5|4|1=25012437;2=25012438;3=25012439;4=25012440
01A栋|513|5|4|1=25013109;2=25013110;3=25013111;4=25013112
01A栋|514|5|4|1=25013113;2=25013114;3=25013115;4=25013116
01A栋|515|5|4|1=25013117;2=25013118;3=25013119;4=25013120
01A栋|516|5|4|1=25013121;2=25013122;3=25013123;4=25013124
01A栋|517|5|4|1=25013125;2=25013126;3=25013127;4=25013128
01A栋|518|5|4|1=25013129;2=25013130;3=25013131;4=25013132
01A栋|519|5|4|1=25013133;2=25013134;3=25013135;4=25013136
01A栋|520|5|4|1=25013137;2=25013138;3=25013139;4=25013140
01A栋|521|5|4|1=25013209;2=25013210;3=25013211;4=25013212
01A栋|522|5|4|1=25013213;2=25013214;3=25013215;4=25013216
01A栋|523|5|4|1=25013217;2=25013218;3=25013219;4=25013220
01A栋|524|5|4|1=25013221;2=25013222;3=25013223;4=25013224
01A栋|525|5|4|1=25013225;2=25013226;3=25013227;4=25013228
01A栋|526|5|4|1=25013229;2=25013230;3=25013231;4=25013232
01A栋|527|5|4|1=25013233;2=25013234;3=25013235;4=25013236
01A栋|528|5|4|1=25013237;2=25013238;3=25013239;4=25013240
01A栋|529|5|4|1=25013309;2=25013310;3=25013311;4=25013312
01A栋|530|5|4|1=25013313;2=25013314;3=25013315;4=25013316
01A栋|531|5|4|1=25013317;2=25013318;3=25013319;4=25013320
01A栋|532|5|4|1=25013321;2=25013322;3=25013323;4=25013324
01A栋|533|5|4|1=25013325;2=25013326;3=25013327;4=25013328
01A栋|534|5|4|1=25013329;2=25013330;3=25013331;4=25013332
01A栋|535|5|4|1=25013333;2=25013334;3=25013335;4=25013336
01A栋|536|5|4|1=25013337;2=25013338;3=25013339;4=25013340
01A栋|537|5|4|1=25013409;2=25013410;3=25013411;4=25013412
01A栋|538|5|4|1=25013413;2=25013414;3=25013415;4=25013416
01A栋|539|5|4|1=25013417;2=25013418;3=25013419;4=25013420
01A栋|540|5|4|1=25013421;2=25013422;3=25013423;4=25013424
01A栋|541|5|4|1=25013425;2=25013426;3=25013427;4=25013428
01A栋|542|5|4|1=25013429;2=25013430;3=25013431;4=25013432
01A栋|543|5|4|1=25013433;2=25013434;3=25013435;4=25013436
01A栋|544|5|4|1=25013437;2=25013438;3=25013439;4=25013440
01A栋|545|5|4|1=25014109;2=25014110;3=25014111;4=25014112
01A栋|601|6|4|1=25014113;2=25014114;3=25014115;4=25014116
01A栋|602|6|4|1=25014117;2=25014118;3=25014119;4=25014120
01A栋|603|6|4|1=25014121;2=25014122;3=25014123;4=25014124
01A栋|604|6|4|1=25014125;2=25014126;3=25014127;4=25014128
01A栋|605|6|4|1=25014129;2=25014130;3=25014131;4=25014132
01A栋|606|6|4|1=25014133;2=25014134;3=25014135;4=25014136
01A栋|607|6|4|1=25014137;2=25014138;3=25014139;4=25014140
01A栋|608|6|4|1=25014209;2=25014210;3=25014211;4=25014212
01A栋|609|6|4|1=25014213;2=25014214;3=25014215;4=25014216
01A栋|610|6|4|1=25014217;2=25014218;3=25014219;4=25014220
01A栋|611|6|4|1=25014221;2=25014222;3=25014223;4=25014224
01A栋|612|6|4|1=25014225;2=25014226;3=25014227;4=25014228
01A栋|613|6|4|1=25014229;2=25014230;3=25014231;4=25014232
01A栋|614|6|4|1=25014233;2=25014234;3=25014235;4=25014236
01A栋|615|6|4|1=25014237;2=25014238;3=25014239;4=25014240
01A栋|616|6|4|1=25014309;2=25014310;3=25014311;4=25014312
01A栋|617|6|4|1=25014313;2=25014314;3=25014315;4=25014316
01A栋|618|6|4|1=25014317;2=25014318;3=25014319;4=25014320
01A栋|619|6|4|1=25014321;2=25014322;3=25014323;4=25014324
01A栋|620|6|4|1=25014325;2=25014326;3=25014327;4=25014328
01A栋|621|6|4|1=25014329;2=25014330;3=25014331;4=25014332
01A栋|622|6|4|1=25014333;2=25014334;3=25014335;4=25014336
01A栋|623|6|4|1=25014337;2=25014338;3=25014339;4=25014340
01A栋|624|6|4|1=25014409;2=25014410;3=25014411;4=25014412
01A栋|625|6|4|1=25014413;2=25014414;3=25014415;4=25014416
01A栋|626|6|4|1=25014417;2=25014418;3=25014419;4=25014420
01A栋|627|6|4|1=25014421;2=25014422;3=25014423;4=25014424
01A栋|628|6|4|1=25014425;2=25014426;3=25014427;4=25014428
01A栋|629|6|4|1=25014429;2=25014430;3=25014431;4=25014432
01A栋|630|6|4|1=25014433;2=25014434;3=25014435;4=25014436
01A栋|631|6|4|1=25014437;2=25014438;3=25014439;4=25014440
01A栋|632|6|4|1=;2=;3=;4=
01A栋|633|6|4|1=;2=;3=;4=
01A栋|634|6|4|1=;2=;3=;4=
01A栋|635|6|4|1=;2=;3=;4=
01A栋|636|6|4|1=;2=;3=;4=
01A栋|637|6|4|1=;2=;3=;4=
01A栋|638|6|4|1=;2=;3=;4=
01A栋|639|6|4|1=;2=;3=;4=
01A栋|640|6|4|1=;2=;3=;4=
01A栋|641|6|4|1=;2=;3=;4=
01A栋|642|6|4|1=;2=;3=;4=
01A栋|643|6|4|1=;2=;3=;4=
01A栋|644|6|4|1=;2=;3=;4=
01A栋|645|6|4|1=;2=;3=;4=
01B栋|101|1|4|1=24011101;2=24011102;3=24011103;4=24011104
01B栋|102|1|4|1=24011105;2=24011106;3=24011107;4=24011108
01B栋|103|1|4|1=24011201;2=24011202;3=24011203;4=24011204
01B栋|104|1|4|1=24011205;2=24011206;3=24011207;4=24011208
01B栋|105|1|4|1=24011301;2=24011302;3=24011303;4=24011304
01B栋|106|1|4|1=24011305;2=24011306;3=24011307;4=24011308
01B栋|107|1|4|1=24011401;2=24011402;3=24011403;4=24011404
01B栋|108|1|4|1=24011405;2=24011406;3=24011407;4=24011408
01B栋|109|1|4|1=24012101;2=24012102;3=24012103;4=24012104
01B栋|110|1|4|1=24012105;2=24012106;3=24012107;4=24012108
01B栋|111|1|4|1=24012201;2=24012202;3=24012203;4=24012204
01B栋|112|1|4|1=24012205;2=24012206;3=24012207;4=24012208
01B栋|113|1|4|1=24012301;2=24012302;3=24012303;4=24012304
01B栋|114|1|4|1=24012305;2=24012306;3=24012307;4=24012308
01B栋|115|1|4|1=24012401;2=24012402;3=24012403;4=24012404
01B栋|116|1|4|1=24012405;2=24012406;3=24012407;4=24012408
01B栋|117|1|4|1=24013101;2=24013102;3=24013103;4=24013104
01B栋|118|1|4|1=24013105;2=24013106;3=24013107;4=24013108
01B栋|119|1|4|1=24013201;2=24013202;3=24013203;4=24013204
01B栋|120|1|4|1=24013205;2=24013206;3=24013207;4=24013208
01B栋|121|1|4|1=24013301;2=24013302;3=24013303;4=24013304
01B栋|122|1|4|1=24013305;2=24013306;3=24013307;4=24013308
01B栋|123|1|4|1=24013401;2=24013402;3=24013403;4=24013404
01B栋|124|1|4|1=24013405;2=24013406;3=24013407;4=24013408
01B栋|125|1|4|1=24014101;2=24014102;3=24014103;4=24014104
01B栋|126|1|4|1=24014105;2=24014106;3=24014107;4=24014108
01B栋|127|1|4|1=24014201;2=24014202;3=24014203;4=24014204
01B栋|128|1|4|1=24014205;2=24014206;3=24014207;4=24014208
01B栋|129|1|4|1=24014301;2=24014302;3=24014303;4=24014304
01B栋|130|1|4|1=24014305;2=24014306;3=24014307;4=24014308
01B栋|131|1|4|1=24014401;2=24014402;3=24014403;4=24014404
01B栋|132|1|4|1=24014405;2=24014406;3=24014407;4=24014408
01B栋|133|1|4|1=25011101;2=25011102;3=25011103;4=25011104
01B栋|134|1|4|1=25011105;2=25011106;3=25011107;4=25011108
01B栋|135|1|4|1=25011201;2=25011202;3=25011203;4=25011204
01B栋|136|1|4|1=25011205;2=25011206;3=25011207;4=25011208
01B栋|137|1|4|1=25011301;2=25011302;3=25011303;4=25011304
01B栋|138|1|4|1=25011305;2=25011306;3=25011307;4=25011308
01B栋|139|1|4|1=25011401;2=25011402;3=25011403;4=25011404
01B栋|140|1|4|1=25011405;2=25011406;3=25011407;4=25011408
01B栋|141|1|4|1=25012101;2=25012102;3=25012103;4=25012104
01B栋|142|1|4|1=25012105;2=25012106;3=25012107;4=25012108
01B栋|143|1|4|1=25012201;2=25012202;3=25012203;4=25012204
01B栋|144|1|4|1=25012205;2=25012206;3=25012207;4=25012208
01B栋|145|1|4|1=25012301;2=25012302;3=25012303;4=25012304
01B栋|201|2|4|1=25012305;2=25012306;3=25012307;4=25012308
01B栋|202|2|4|1=25012401;2=25012402;3=25012403;4=25012404
01B栋|203|2|4|1=25012405;2=25012406;3=25012407;4=25012408
01B栋|204|2|4|1=25013101;2=25013102;3=25013103;4=25013104
01B栋|205|2|4|1=25013105;2=25013106;3=25013107;4=25013108
01B栋|206|2|4|1=25013201;2=25013202;3=25013203;4=25013204
01B栋|207|2|4|1=25013205;2=25013206;3=25013207;4=25013208
01B栋|208|2|4|1=25013301;2=25013302;3=25013303;4=25013304
01B栋|209|2|4|1=25013305;2=25013306;3=25013307;4=25013308
01B栋|210|2|4|1=25013401;2=25013402;3=25013403;4=25013404
01B栋|211|2|4|1=25013405;2=25013406;3=25013407;4=25013408
01B栋|212|2|4|1=25014101;2=25014102;3=25014103;4=25014104
01B栋|213|2|4|1=25014105;2=25014106;3=25014107;4=25014108
01B栋|214|2|4|1=25014201;2=25014202;3=25014203;4=25014204
01B栋|215|2|4|1=25014205;2=25014206;3=25014207;4=25014208
01B栋|216|2|4|1=25014301;2=25014302;3=25014303;4=25014304
01B栋|217|2|4|1=25014305;2=25014306;3=25014307;4=25014308
01B栋|218|2|4|1=25014401;2=25014402;3=25014403;4=25014404
01B栋|219|2|4|1=25014405;2=25014406;3=25014407;4=25014408
01B栋|220|2|4|1=;2=;3=;4=
01B栋|221|2|4|1=;2=;3=;4=
01B栋|222|2|4|1=;2=;3=;4=
01B栋|223|2|4|1=;2=;3=;4=
01B栋|224|2|4|1=;2=;3=;4=
01B栋|225|2|4|1=;2=;3=;4=
01B栋|226|2|4|1=;2=;3=;4=
01B栋|227|2|4|1=;2=;3=;4=
01B栋|228|2|4|1=;2=;3=;4=
01B栋|229|2|4|1=;2=;3=;4=
01B栋|230|2|4|1=;2=;3=;4=
01B栋|231|2|4|1=;2=;3=;4=
01B栋|232|2|4|1=;2=;3=;4=
01B栋|233|2|4|1=;2=;3=;4=
01B栋|234|2|4|1=;2=;3=;4=
01B栋|235|2|4|1=;2=;3=;4=
01B栋|236|2|4|1=;2=;3=;4=
01B栋|237|2|4|1=;2=;3=;4=
01B栋|238|2|4|1=;2=;3=;4=
01B栋|239|2|4|1=;2=;3=;4=
01B栋|240|2|4|1=;2=;3=;4=
01B栋|241|2|4|1=;2=;3=;4=
01B栋|242|2|4|1=;2=;3=;4=
01B栋|243|2|4|1=;2=;3=;4=
01B栋|244|2|4|1=;2=;3=;4=
01B栋|245|2|4|1=;2=;3=;4=
02A栋|101|1|4|1=24021109;2=24021110;3=24021111;4=24021112
02A栋|102|1|4|1=24021113;2=24021114;3=24021115;4=24021116
02A栋|103|1|4|1=24021117;2=24021118;3=24021119;4=24021120
02A栋|104|1|4|1=24021121;2=24021122;3=24021123;4=24021124
02A栋|105|1|4|1=24021125;2=24021126;3=24021127;4=24021128
02A栋|106|1|4|1=24021129;2=24021130;3=24021131;4=24021132
02A栋|107|1|4|1=24021133;2=24021134;3=24021135;4=24021136
02A栋|108|1|4|1=24021137;2=24021138;3=24021139;4=24021140
02A栋|109|1|4|1=24021209;2=24021210;3=24021211;4=24021212
02A栋|110|1|4|1=24021213;2=24021214;3=24021215;4=24021216
02A栋|111|1|4|1=24021217;2=24021218;3=24021219;4=24021220
02A栋|112|1|4|1=24021221;2=24021222;3=24021223;4=24021224
02A栋|113|1|4|1=24021225;2=24021226;3=24021227;4=24021228
02A栋|114|1|4|1=24021229;2=24021230;3=24021231;4=24021232
02A栋|115|1|4|1=24021233;2=24021234;3=24021235;4=24021236
02A栋|116|1|4|1=24021237;2=24021238;3=24021239;4=24021240
02A栋|117|1|4|1=24021309;2=24021310;3=24021311;4=24021312
02A栋|118|1|4|1=24021313;2=24021314;3=24021315;4=24021316
02A栋|119|1|4|1=24021317;2=24021318;3=24021319;4=24021320
02A栋|120|1|4|1=24021321;2=24021322;3=24021323;4=24021324
02A栋|121|1|4|1=24021325;2=24021326;3=24021327;4=24021328
02A栋|122|1|4|1=24021329;2=24021330;3=24021331;4=24021332
02A栋|123|1|4|1=24021333;2=24021334;3=24021335;4=24021336
02A栋|124|1|4|1=24021337;2=24021338;3=24021339;4=24021340
02A栋|125|1|4|1=24021409;2=24021410;3=24021411;4=24021412
02A栋|126|1|4|1=24021413;2=24021414;3=24021415;4=24021416
02A栋|127|1|4|1=24021417;2=24021418;3=24021419;4=24021420
02A栋|128|1|4|1=24021421;2=24021422;3=24021423;4=24021424
02A栋|129|1|4|1=24021425;2=24021426;3=24021427;4=24021428
02A栋|130|1|4|1=24021429;2=24021430;3=24021431;4=24021432
02A栋|131|1|4|1=24021433;2=24021434;3=24021435;4=24021436
02A栋|132|1|4|1=24021437;2=24021438;3=24021439;4=24021440
02A栋|133|1|4|1=24022109;2=24022110;3=24022111;4=24022112
02A栋|134|1|4|1=24022113;2=24022114;3=24022115;4=24022116
02A栋|135|1|4|1=24022117;2=24022118;3=24022119;4=24022120
02A栋|136|1|4|1=24022121;2=24022122;3=24022123;4=24022124
02A栋|137|1|4|1=24022125;2=24022126;3=24022127;4=24022128
02A栋|138|1|4|1=24022129;2=24022130;3=24022131;4=24022132
02A栋|139|1|4|1=24022133;2=24022134;3=24022135;4=24022136
02A栋|140|1|4|1=24022137;2=24022138;3=24022139;4=24022140
02A栋|141|1|4|1=24022209;2=24022210;3=24022211;4=24022212
02A栋|142|1|4|1=24022213;2=24022214;3=24022215;4=24022216
02A栋|143|1|4|1=24022217;2=24022218;3=24022219;4=24022220
02A栋|144|1|4|1=24022221;2=24022222;3=24022223;4=24022224
02A栋|145|1|4|1=24022225;2=24022226;3=24022227;4=24022228
02A栋|201|2|4|1=24022229;2=24022230;3=24022231;4=24022232
02A栋|202|2|4|1=24022233;2=24022234;3=24022235;4=24022236
02A栋|203|2|4|1=24022237;2=24022238;3=24022239;4=24022240
